Product Versions,Latest Service Pack,Latest GDR,Latest cumulative update,CU Release Date,General Guidance
SQL Server 2019,N/A,KB 4583458,CU 11 (KB 5003249),6/10/2021,SQL Server 2019 Installation
SQL Server 2017,N/A,KB 4583456,CU 24 (KB 5001228),5/10/2021,SQL Server 2017 Installation
SQL Server 2016,SP2 (KB 4052908),KB 4583460,CU 17 (KB 5001092),3/29/2021,SQL Server 2016 Installation
SQL Server 2016,SP1 (KB 3182545),KB 4505219,CU 15 + GDR (KB 4505221),7/9/2019,SQL Server 2016 Installation
SQL Server 2016,N/A,KB4058560,CU 9 (KB 4058559),11/22/2017,SQL Server 2016 Installation
SQL Server 2014,SP3 (KB 4022619),KB 4583463,CU 4 (KB 4583462),1/12/2021,SQL Server 2014 Installation
SQL Server 2014,SP2 (KB 3171021),KB 4505217,CU 18 (KB 4500180),7/29/2019,SQL Server 2014 Installation
SQL Server 2014,SP1 (KB 3058865),KB 4032542,CU 13 (KB 4019099),8/8/2017,SQL Server 2014 Installation
SQL Server 2014,N/A,MS 15-058,CU 14 (KB 3158271),6/20/2016,SQL Server 2014 Installation
SQL Server 2012,SP4 (KB 4018073),KB 4583465,N/A,N/A,SQL Server 2012 Installation
SQL Server 2012,SP3 (KB 3072779),KB 4057115,CU 10 (KB 4057121),8/8/2017,SQL Server 2012 Installation
SQL Server 2012,SP2 (KB 2958429),MS 16-136,CU 16 (KB 3205054),1/18/2017,SQL Server 2012 Installation
SQL Server 2012,SP1 (KB 2674319),MS 15-058,CU 16 (KB 3052476),5/18/2015,SQL Server 2012 Installation
SQL Server 2008 R2,SP3 (KB 2979597),KB 4057113,N/A,N/A,SQL Server 2008 R2 SP3 Installation
SQL Server 2008 R2,SP2 (KB 2630458),MS 15-058,CU 13 (KB 2967540),6/30/2014,SQL Server 2008 R2 SP2 Installation
SQL Server 2008,SP4 (KB 2979596),4057114,N/A,N/A,SQL Server 2008 Servicing
SQL Server 2008,SP3 (KB 2546951),MS 15-058,CU 17 (KB 2958696),5/19/2014,SQL Server 2008 Servicing
Product Versions,Latest Service Pack,Latest GDR,Latest cumulative update,CU Release Date,General Guidance
SQL Server 2019,N/A,KB 4583458,CU 11 (KB 5003249),6/10/2021,SQL Server 2019 Installation
SQL Server 2017,N/A,KB 4583456,CU 24 (KB 5001228),5/10/2021,SQL Server 2017 Installation
SQL Server 2016,SP2 (KB 4052908),KB 4583460,CU 17 (KB 5001092),3/29/2021,SQL Server 2016 Installation
SQL Server 2016,SP1 (KB 3182545),KB 4505219,CU 15 + GDR (KB 4505221),7/9/2019,SQL Server 2016 Installation
SQL Server 2016,N/A,KB4058560,CU 9 (KB 4058559),11/22/2017,SQL Server 2016 Installation
SQL Server 2014,SP3 (KB 4022619),KB 4583463,CU 4 (KB 4583462),1/12/2021,SQL Server 2014 Installation
SQL Server 2014,SP2 (KB 3171021),KB 4505217,CU 18 (KB 4500180),7/29/2019,SQL Server 2014 Installation
SQL Server 2014,SP1 (KB 3058865),KB 4032542,CU 13 (KB 4019099),8/8/2017,SQL Server 2014 Installation
SQL Server 2014,N/A,MS 15-058,CU 14 (KB 3158271),6/20/2016,SQL Server 2014 Installation
SQL Server 2012,SP4 (KB 4018073),KB 4583465,N/A,N/A,SQL Server 2012 Installation
SQL Server 2012,SP3 (KB 3072779),KB 4057115,CU 10 (KB 4057121),8/8/2017,SQL Server 2012 Installation
SQL Server 2012,SP2 (KB 2958429),MS 16-136,CU 16 (KB 3205054),1/18/2017,SQL Server 2012 Installation
SQL Server 2012,SP1 (KB 2674319),MS 15-058,CU 16 (KB 3052476),5/18/2015,SQL Server 2012 Installation
SQL Server 2008 R2,SP3 (KB 2979597),KB 4057113,N/A,N/A,SQL Server 2008 R2 SP3 Installation
SQL Server 2008 R2,SP2 (KB 2630458),MS 15-058,CU 13 (KB 2967540),6/30/2014,SQL Server 2008 R2 SP2 Installation
SQL Server 2008,SP4 (KB 2979596),4057114,N/A,N/A,SQL Server 2008 Servicing
SQL Server 2008,SP3 (KB 2546951),MS 15-058,CU 17 (KB 2958696),5/19/2014,SQL Server 2008 Servicing
Product Versions,Latest Service Pack,Latest GDR,Latest cumulative update,CU Release Date,General Guidance
SQL Server 2019,N/A,KB 4583458,CU 11 (KB 5003249),6/10/2021,SQL Server 2019 Installation
SQL Server 2017,N/A,KB 4583456,CU 24 (KB 5001228),5/10/2021,SQL Server 2017 Installation
SQL Server 2016,SP2 (KB 4052908),KB 4583460,CU 17 (KB 5001092),3/29/2021,SQL Server 2016 Installation
SQL Server 2016,SP1 (KB 3182545),KB 4505219,CU 15 + GDR (KB 4505221),7/9/2019,SQL Server 2016 Installation
SQL Server 2016,N/A,KB4058560,CU 9 (KB 4058559),11/22/2017,SQL Server 2016 Installation
SQL Server 2014,SP3 (KB 4022619),KB 4583463,CU 4 (KB 4583462),1/12/2021,SQL Server 2014 Installation
SQL Server 2014,SP2 (KB 3171021),KB 4505217,CU 18 (KB 4500180),7/29/2019,SQL Server 2014 Installation
SQL Server 2014,SP1 (KB 3058865),KB 4032542,CU 13 (KB 4019099),8/8/2017,SQL Server 2014 Installation
SQL Server 2014,N/A,MS 15-058,CU 14 (KB 3158271),6/20/2016,SQL Server 2014 Installation
SQL Server 2012,SP4 (KB 4018073),KB 4583465,N/A,N/A,SQL Server 2012 Installation
SQL Server 2012,SP3 (KB 3072779),KB 4057115,CU 10 (KB 4057121),8/8/2017,SQL Server 2012 Installation
SQL Server 2012,SP2 (KB 2958429),MS 16-136,CU 16 (KB 3205054),1/18/2017,SQL Server 2012 Installation
SQL Server 2012,SP1 (KB 2674319),MS 15-058,CU 16 (KB 3052476),5/18/2015,SQL Server 2012 Installation
SQL Server 2008 R2,SP3 (KB 2979597),KB 4057113,N/A,N/A,SQL Server 2008 R2 SP3 Installation
SQL Server 2008 R2,SP2 (KB 2630458),MS 15-058,CU 13 (KB 2967540),6/30/2014,SQL Server 2008 R2 SP2 Installation
SQL Server 2008,SP4 (KB 2979596),4057114,N/A,N/A,SQL Server 2008 Servicing
SQL Server 2008,SP3 (KB 2546951),MS 15-058,CU 17 (KB 2958696),5/19/2014,SQL Server 2008 Servicing
