Version,Released,Active Support,Security Support,Release
16,2 months and 3 weeks ago (16 Mar 2021),Ends            in 3 months and 3 weeks (30 Sep 2021),Ends            in 3 months and 3 weeks (30 Sep 2021),16.0.0
15,8 months and 3 weeks ago (16 Sep 2020),Ended            2 months and 1 week ago (31 Mar 2021),Ended            2 months and 1 week ago (31 Mar 2021),NA
14,1 year and 2 months ago (17 Mar 2020),Ended            8 months ago (30 Sep 2020),Ended            8 months ago (30 Sep 2020),NA
13,1 year and 8 months ago (17 Sep 2019),Ended            1 year and 2 months ago (31 Mar 2020),Ended            1 year and 2 months ago (31 Mar 2020),NA
12,2 years and 2 months ago (19 Mar 2019),Ended            1 year and 8 months ago (30 Sep 2019),Ended            1 year and 8 months ago (30 Sep 2019),NA
11 (LTS),2 years and 8 months ago (25 Sep 2018),Ends            in 2 years and 3 months (30 Sep 2023),Ends            in 5 years (30 Sep 2026),11.0.10
10,3 years ago (20 Mar 2018),Ended            2 years and 8 months ago (25 Sep 2018),Ended            2 years and 8 months ago (25 Sep 2018),NA
9,3 years and 8 months ago (21 Sep 2017),Ended            3 years ago (20 Mar 2018),Ended            3 years ago (20 Mar 2018),NA
8 (LTS),7 years ago (18 Mar 2014),Ends            in 9 months (31 Mar 2022),Ends            in 3 years and 9 months (31 Mar 2025),8u281
7,9 years ago (07 Jul 2011),Ended            1 year and 10 months ago (31 Jul 2019),Ends            in 1 year and 1 month (31 Jul 2022),7u221
6,14 years ago (11 Dec 2006),Ended            5 years ago (31 Dec 2015),Ended            2 years and 5 months ago (31 Dec 2018),NA
